Question ID,NetSuite Module,User Question,Clarification Question,Query ID,Live Lookup Field,SQL Query,Available Options,JSON Status,JSON Row Count,JSON Error,JSON Details,JSON Items,Selector Type
q11,Accounts Receivable,How are customers paying us?,Which payment methods would you like to analyze?,payment-methods,'cash',"SELECT 'cash' as value, 'Cash' as display_value FROM DUAL UNION ALL SELECT 'check' as value, 'Check' as display_value FROM DUAL UNION ALL SELECT 'creditcard' as value, 'Credit Card' as display_value FROM DUAL UNION ALL SELECT 'ach' as value, 'ACH/Wire' as display_value FROM DUAL","ACH/Wire, Cash, Check, Credit Card",success,4,,,"[{""links"": [], ""display_value"": ""ACH/Wire"", ""value"": ""ach""}, {""links"": [], ""display_value"": ""Cash"", ""value"": ""cash""}, {""links"": [], ""display_value"": ""Check"", ""value"": ""check""}, {""links"": [], ""display_value"": ""Credit Card"", ""value"": ""creditcard""}]",Checkbox Multi-Select
q12,Accounts Receivable,Show me outstanding invoices,What invoice statuses should I include?,invoice-status,status,"SELECT DISTINCT t.status as value, CASE t.status WHEN 'A' THEN 'Open' WHEN 'B' THEN 'Paid In Full' ELSE 'Status: ' || t.status END as display_value FROM transaction t WHERE t.type = 'CustInvc' AND ROWNUM <= 20",Open,success,1,,,"[{""links"": [], ""display_value"": ""Open"", ""value"": ""A""}]",Not Applicable
q13,Multi-Company,What's our total sales?,Should I include intercompany sales?,intercompany-sales,'yes',"SELECT 'yes' as value, 'Include Intercompany' as display_value FROM DUAL UNION ALL SELECT 'no' as value, 'Exclude Intercompany' as display_value FROM DUAL UNION ALL SELECT 'only' as value, 'Intercompany Only' as display_value FROM DUAL","Exclude Intercompany, Intercompany Only, Include Intercompany",success,3,,,"[{""links"": [], ""display_value"": ""Exclude Intercompany"", ""value"": ""no""}, {""links"": [], ""display_value"": ""Intercompany Only"", ""value"": ""only""}, {""links"": [], ""display_value"": ""Include Intercompany"", ""value"": ""yes""}]",Checkbox Multi-Select
q14,Accounts Receivable,Show me aged receivables,How should I calculate the aging?,aging-buckets,'0-30',"SELECT '0-30' as value, '0-30 Days' as display_value FROM DUAL UNION ALL SELECT '31-60' as value, '31-60 Days' as display_value FROM DUAL UNION ALL SELECT '61-90' as value, '61-90 Days' as display_value FROM DUAL UNION ALL SELECT '91+' as value, 'Over 90 Days' as display_value FROM DUAL","0-30 Days, 31-60 Days, 61-90 Days, Over 90 Days",success,4,,,"[{""links"": [], ""display_value"": ""0-30 Days"", ""value"": ""0-30""}, {""links"": [], ""display_value"": ""31-60 Days"", ""value"": ""31-60""}, {""links"": [], ""display_value"": ""61-90 Days"", ""value"": ""61-90""}, {""links"": [], ""display_value"": ""Over 90 Days"", ""value"": ""91+""}]",Radio Buttons
q15,Accounts Receivable,What was our AR aging?,Which aging view would you like?,aging-view,'summary',"SELECT 'summary' as value, 'Summary by Period' as display_value FROM DUAL UNION ALL SELECT 'detail' as value, 'Detailed by Invoice' as display_value FROM DUAL UNION ALL SELECT 'customer' as value, 'By Customer' as display_value FROM DUAL UNION ALL SELECT 'salesperson' as value, 'By Sales Rep' as display_value FROM DUAL","By Customer, Detailed by Invoice, By Sales Rep, Summary by Period",success,4,,,"[{""links"": [], ""display_value"": ""By Customer"", ""value"": ""customer""}, {""links"": [], ""display_value"": ""Detailed by Invoice"", ""value"": ""detail""}, {""links"": [], ""display_value"": ""By Sales Rep"", ""value"": ""salesperson""}, {""links"": [], ""display_value"": ""Summary by Period"", ""value"": ""summary""}]",Checkbox Multi-Select
q16,Accounts Receivable,Show customer balances,How should I handle credit balances?,credit-balances,'include',"SELECT 'include' as value, 'Include Credits' as display_value FROM DUAL UNION ALL SELECT 'exclude' as value, 'Exclude Credits' as display_value FROM DUAL UNION ALL SELECT 'separate' as value, 'Show Separately' as display_value FROM DUAL UNION ALL SELECT 'net' as value, 'Net Against Debits' as display_value FROM DUAL","Exclude Credits, Include Credits, Net Against Debits, Show Separately",success,4,,,"[{""links"": [], ""display_value"": ""Exclude Credits"", ""value"": ""exclude""}, {""links"": [], ""display_value"": ""Include Credits"", ""value"": ""include""}, {""links"": [], ""display_value"": ""Net Against Debits"", ""value"": ""net""}, {""links"": [], ""display_value"": ""Show Separately"", ""value"": ""separate""}]",Radio Buttons
q17,Accounts Receivable,Which customers need collection calls?,What dunning/collection status should I filter by?,dunning-status,'not_sent',"SELECT 'not_sent' as value, 'Not Yet Sent' as display_value FROM DUAL UNION ALL SELECT 'sent_1' as value, 'First Notice Sent' as display_value FROM DUAL UNION ALL SELECT 'sent_2' as value, 'Second Notice Sent' as display_value FROM DUAL UNION ALL SELECT 'sent_final' as value, 'Final Notice Sent' as display_value FROM DUAL UNION ALL SELECT 'collections' as value, 'In Collections' as display_value FROM DUAL","In Collections, Not Yet Sent, First Notice Sent, Second Notice Sent, Final Notice Sent",success,5,,,"[{""links"": [], ""display_value"": ""In Collections"", ""value"": ""collections""}, {""links"": [], ""display_value"": ""Not Yet Sent"", ""value"": ""not_sent""}, {""links"": [], ""display_value"": ""First Notice Sent"", ""value"": ""sent_1""}, {""links"": [], ""display_value"": ""Second Notice Sent"", ""value"": ""sent_2""}, {""links"": [], ""display_value"": ""Final Notice Sent"", ""value"": ""sent_final""}]",Radio Buttons
q18,Accounts Payable,Show what we owe vendors,Which types of payable transactions should I include?,ap-transaction-types,type,"SELECT DISTINCT t.type as value, CASE t.type WHEN 'VendBill' THEN 'Bills' WHEN 'VendCred' THEN 'Vendor Credits' WHEN 'ExpRept' THEN 'Expense Reports' WHEN 'PurchOrd' THEN 'Purchase Orders' ELSE 'Type: ' || t.type END as display_value FROM transaction t WHERE t.type IN ('VendBill', 'VendCred', 'ExpRept', 'PurchOrd') AND ROWNUM <= 20",Purchase Order,success,1,,,"[{""links"": [], ""display_value"": ""Purchase Order"", ""value"": ""PurchOrd""}]",Not Applicable
q19,Accounts Payable,What bills need to be paid?,What payment status are you interested in?,payment-status,'unpaid',"SELECT 'unpaid' as value, 'Unpaid' as display_value FROM DUAL UNION ALL SELECT 'partial' as value, 'Partially Paid' as display_value FROM DUAL UNION ALL SELECT 'paid' as value, 'Fully Paid' as display_value FROM DUAL UNION ALL SELECT 'overdue' as value, 'Overdue' as display_value FROM DUAL UNION ALL SELECT 'disputed' as value, 'Disputed' as display_value FROM DUAL","Disputed, Overdue, Fully Paid, Partially Paid, Unpaid",success,5,,,"[{""links"": [], ""display_value"": ""Disputed"", ""value"": ""disputed""}, {""links"": [], ""display_value"": ""Overdue"", ""value"": ""overdue""}, {""links"": [], ""display_value"": ""Fully Paid"", ""value"": ""paid""}, {""links"": [], ""display_value"": ""Partially Paid"", ""value"": ""partial""}, {""links"": [], ""display_value"": ""Unpaid"", ""value"": ""unpaid""}]",Radio Buttons
q20,Accounts Payable,Show vendor bills,What approval status should the bills have?,bill-approval-status,'pending',"SELECT 'pending' as value, 'Pending Approval' as display_value FROM DUAL UNION ALL SELECT 'approved' as value, 'Approved' as display_value FROM DUAL UNION ALL SELECT 'rejected' as value, 'Rejected' as display_value FROM DUAL","Approved, Pending Approval, Rejected",success,3,,,"[{""links"": [], ""display_value"": ""Approved"", ""value"": ""approved""}, {""links"": [], ""display_value"": ""Pending Approval"", ""value"": ""pending""}, {""links"": [], ""display_value"": ""Rejected"", ""value"": ""rejected""}]",Radio Buttons
q21,Accounts Payable,List vendor payments for the year,Which vendor types should I include?,1099-vendors,is1099eligible,"SELECT DISTINCT v.is1099eligible as value, CASE v.is1099eligible WHEN 'T' THEN '1099 Eligible Vendors' ELSE 'Non-1099 Vendors' END as display_value FROM vendor v",No,success,1,,,"[{""links"": [], ""display_value"": ""No"", ""value"": ""F""}]",Not Applicable
q22,Accounts Payable,Analyze vendor spending,Which vendor categories would you like to see?,vendor-categories,category,"SELECT DISTINCT v.category as value, v.category as display_value FROM vendor v WHERE v.category IS NOT NULL AND ROWNUM <= 50","Standard Vendor, Restricted Vendor",success,2,,,"[{""links"": [], ""display_value"": ""Standard Vendor"", ""value"": ""3""}, {""links"": [], ""display_value"": ""Restricted Vendor"", ""value"": ""5""}]",Checkbox Multi-Select
q23,Accounts Payable,What are our payment terms with vendors?,Which payment term types should I show?,payment-terms,'net30',"SELECT 'net30' as value, 'Net 30' as display_value FROM DUAL UNION ALL SELECT 'net60' as value, 'Net 60' as display_value FROM DUAL UNION ALL SELECT 'net90' as value, 'Net 90' as display_value FROM DUAL UNION ALL SELECT 'immediate' as value, 'Due on Receipt' as display_value FROM DUAL","Due on Receipt, Net 30, Net 60, Net 90",success,4,,,"[{""links"": [], ""display_value"": ""Due on Receipt"", ""value"": ""immediate""}, {""links"": [], ""display_value"": ""Net 30"", ""value"": ""net30""}, {""links"": [], ""display_value"": ""Net 60"", ""value"": ""net60""}, {""links"": [], ""display_value"": ""Net 90"", ""value"": ""net90""}]",Checkbox Multi-Select
q24,Accounts Payable,List our suppliers,Should I filter by preferred vendor status?,preferred-vendor,'all',"SELECT 'all' as value, 'All Vendors' as display_value FROM DUAL UNION ALL SELECT 'preferred' as value, 'Preferred Only' as display_value FROM DUAL UNION ALL SELECT 'non_preferred' as value, 'Non-Preferred Only' as display_value FROM DUAL","All Vendors, Non-Preferred Only, Preferred Only",success,3,,,"[{""links"": [], ""display_value"": ""All Vendors"", ""value"": ""all""}, {""links"": [], ""display_value"": ""Non-Preferred Only"", ""value"": ""non_preferred""}, {""links"": [], ""display_value"": ""Preferred Only"", ""value"": ""preferred""}]",Checkbox Multi-Select
q25,Compliance,Are we meeting vendor agreements?,Which compliance aspects should I check?,compliance-aspects,'sox',"SELECT 'sox' as value, 'SOX Compliance' as display_value FROM DUAL UNION ALL SELECT 'tax' as value, 'Tax Compliance' as display_value FROM DUAL UNION ALL SELECT 'regulatory' as value, 'Regulatory Compliance' as display_value FROM DUAL UNION ALL SELECT 'internal' as value, 'Internal Controls' as display_value FROM DUAL UNION ALL SELECT 'all' as value, 'All Compliance Areas' as display_value FROM DUAL","All Compliance Areas, Internal Controls, Regulatory Compliance, SOX Compliance, Tax Compliance",success,5,,,"[{""links"": [], ""display_value"": ""All Compliance Areas"", ""value"": ""all""}, {""links"": [], ""display_value"": ""Internal Controls"", ""value"": ""internal""}, {""links"": [], ""display_value"": ""Regulatory Compliance"", ""value"": ""regulatory""}, {""links"": [], ""display_value"": ""SOX Compliance"", ""value"": ""sox""}, {""links"": [], ""display_value"": ""Tax Compliance"", ""value"": ""tax""}]",Checkbox Multi-Select
q26,Fixed Assets,Show fixed asset activity,Which asset events would you like to see?,asset-events,'acquisition',"SELECT 'acquisition' as value, 'Acquisitions' as display_value FROM DUAL UNION ALL SELECT 'depreciation' as value, 'Depreciation' as display_value FROM DUAL UNION ALL SELECT 'revaluation' as value, 'Revaluations' as display_value FROM DUAL UNION ALL SELECT 'disposal' as value, 'Disposals' as display_value FROM DUAL UNION ALL SELECT 'transfer' as value, 'Transfers' as display_value FROM DUAL","Acquisitions, Depreciation, Disposals, Revaluations, Transfers",success,5,,,"[{""links"": [], ""display_value"": ""Acquisitions"", ""value"": ""acquisition""}, {""links"": [], ""display_value"": ""Depreciation"", ""value"": ""depreciation""}, {""links"": [], ""display_value"": ""Disposals"", ""value"": ""disposal""}, {""links"": [], ""display_value"": ""Revaluations"", ""value"": ""revaluation""}, {""links"": [], ""display_value"": ""Transfers"", ""value"": ""transfer""}]",Checkbox Multi-Select
q27,Fixed Assets,Calculate depreciation expense,Which depreciation method should I use?,depreciation-methods,'sl',"SELECT 'sl' as value, 'Straight Line' as display_value FROM DUAL UNION ALL SELECT 'dd' as value, 'Declining Balance' as display_value FROM DUAL UNION ALL SELECT 'sum' as value, 'Sum of Years Digits' as display_value FROM DUAL","Declining Balance, Straight Line, Sum of Years Digits",success,3,,,"[{""links"": [], ""display_value"": ""Declining Balance"", ""value"": ""dd""}, {""links"": [], ""display_value"": ""Straight Line"", ""value"": ""sl""}, {""links"": [], ""display_value"": ""Sum of Years Digits"", ""value"": ""sum""}]",Checkbox Multi-Select
q28,Fixed Assets,List company assets,What asset status should I include?,asset-status,'new',"SELECT 'new' as value, 'New' as display_value FROM DUAL UNION ALL SELECT 'depreciating' as value, 'Depreciating' as display_value FROM DUAL UNION ALL SELECT 'fullydepreciated' as value, 'Fully Depreciated' as display_value FROM DUAL UNION ALL SELECT 'disposed' as value, 'Disposed' as display_value FROM DUAL","Depreciating, Disposed, Fully Depreciated, New",success,4,,,"[{""links"": [], ""display_value"": ""Depreciating"", ""value"": ""depreciating""}, {""links"": [], ""display_value"": ""Disposed"", ""value"": ""disposed""}, {""links"": [], ""display_value"": ""Fully Depreciated"", ""value"": ""fullydepreciated""}, {""links"": [], ""display_value"": ""New"", ""value"": ""new""}]",Checkbox Multi-Select
q29,Fixed Assets,What are our equipment costs?,Which asset ownership types should I include?,asset-ownership,'owned',"SELECT 'owned' as value, 'Owned Assets' as display_value FROM DUAL UNION ALL SELECT 'leased' as value, 'Leased Assets' as display_value FROM DUAL UNION ALL SELECT 'rented' as value, 'Rented Assets' as display_value FROM DUAL UNION ALL SELECT 'all' as value, 'All Ownership Types' as display_value FROM DUAL","All Ownership Types, Leased Assets, Owned Assets, Rented Assets",success,4,,,"[{""links"": [], ""display_value"": ""All Ownership Types"", ""value"": ""all""}, {""links"": [], ""display_value"": ""Leased Assets"", ""value"": ""leased""}, {""links"": [], ""display_value"": ""Owned Assets"", ""value"": ""owned""}, {""links"": [], ""display_value"": ""Rented Assets"", ""value"": ""rented""}]",Checkbox Multi-Select
q30,Revenue Management,Show revenue for this quarter,Which revenue recognition method should I use?,revenue-recognition-method,'immediate',"SELECT 'immediate' as value, 'Immediate Recognition' as display_value FROM DUAL UNION ALL SELECT 'over_time' as value, 'Over Time' as display_value FROM DUAL UNION ALL SELECT 'milestone' as value, 'Milestone-Based' as display_value FROM DUAL UNION ALL SELECT 'percentage' as value, 'Percentage of Completion' as display_value FROM DUAL","Immediate Recognition, Milestone-Based, Over Time, Percentage of Completion",success,4,,,"[{""links"": [], ""display_value"": ""Immediate Recognition"", ""value"": ""immediate""}, {""links"": [], ""display_value"": ""Milestone-Based"", ""value"": ""milestone""}, {""links"": [], ""display_value"": ""Over Time"", ""value"": ""over_time""}, {""links"": [], ""display_value"": ""Percentage of Completion"", ""value"": ""percentage""}]",Checkbox Multi-Select
q31,Revenue Management,When will we recognize this revenue?,What recognition pattern applies?,recognition-pattern,'straight_line',"SELECT 'straight_line' as value, 'Straight Line' as display_value FROM DUAL UNION ALL SELECT 'accelerated' as value, 'Accelerated' as display_value FROM DUAL UNION ALL SELECT 'custom' as value, 'Custom Schedule' as display_value FROM DUAL UNION ALL SELECT 'event_based' as value, 'Event-Based' as display_value FROM DUAL","Accelerated, Custom Schedule, Event-Based, Straight Line",success,4,,,"[{""links"": [], ""display_value"": ""Accelerated"", ""value"": ""accelerated""}, {""links"": [], ""display_value"": ""Custom Schedule"", ""value"": ""custom""}, {""links"": [], ""display_value"": ""Event-Based"", ""value"": ""event_based""}, {""links"": [], ""display_value"": ""Straight Line"", ""value"": ""straight_line""}]",Radio Buttons
q32,Financial Management,Calculate deferred revenue,Which accounting standard should I follow?,accounting-standard,'gaap',"SELECT 'gaap' as value, 'US GAAP' as display_value FROM DUAL UNION ALL SELECT 'ifrs' as value, 'IFRS' as display_value FROM DUAL UNION ALL SELECT 'local' as value, 'Local GAAP' as display_value FROM DUAL UNION ALL SELECT 'tax' as value, 'Tax Basis' as display_value FROM DUAL","US GAAP, IFRS, Local GAAP, Tax Basis",success,4,,,"[{""links"": [], ""display_value"": ""US GAAP"", ""value"": ""gaap""}, {""links"": [], ""display_value"": ""IFRS"", ""value"": ""ifrs""}, {""links"": [], ""display_value"": ""Local GAAP"", ""value"": ""local""}, {""links"": [], ""display_value"": ""Tax Basis"", ""value"": ""tax""}]",Checkbox Multi-Select
q33,Revenue Management,Show contract revenue,How should I handle performance obligations?,performance-obligations,'separate',"SELECT 'separate' as value, 'Separate Each Obligation' as display_value FROM DUAL UNION ALL SELECT 'bundled' as value, 'Bundle Together' as display_value FROM DUAL UNION ALL SELECT 'primary' as value, 'Primary Obligation Only' as display_value FROM DUAL","Bundle Together, Primary Obligation Only, Separate Each Obligation",success,3,,,"[{""links"": [], ""display_value"": ""Bundle Together"", ""value"": ""bundled""}, {""links"": [], ""display_value"": ""Primary Obligation Only"", ""value"": ""primary""}, {""links"": [], ""display_value"": ""Separate Each Obligation"", ""value"": ""separate""}]",Radio Buttons
q34,Revenue Management,What's our expected revenue?,How should I handle variable consideration?,variable-consideration,'expected_value',"SELECT 'expected_value' as value, 'Expected Value Method' as display_value FROM DUAL UNION ALL SELECT 'most_likely' as value, 'Most Likely Amount' as display_value FROM DUAL UNION ALL SELECT 'conservative' as value, 'Conservative Estimate' as display_value FROM DUAL","Conservative Estimate, Expected Value Method, Most Likely Amount",success,3,,,"[{""links"": [], ""display_value"": ""Conservative Estimate"", ""value"": ""conservative""}, {""links"": [], ""display_value"": ""Expected Value Method"", ""value"": ""expected_value""}, {""links"": [], ""display_value"": ""Most Likely Amount"", ""value"": ""most_likely""}]",Radio Buttons
q35,Revenue Management,Show ARM revenue data,Which ARM component do you want to see?,arm-component,'arrangements',"SELECT 'arrangements' as value, 'Revenue Arrangements' as display_value FROM DUAL UNION ALL SELECT 'elements' as value, 'Revenue Elements' as display_value FROM DUAL UNION ALL SELECT 'recognition' as value, 'Recognition Events' as display_value FROM DUAL UNION ALL SELECT 'plans' as value, 'Recognition Plans' as display_value FROM DUAL","Revenue Arrangements, Revenue Elements, Recognition Plans, Recognition Events",success,4,,,"[{""links"": [], ""display_value"": ""Revenue Arrangements"", ""value"": ""arrangements""}, {""links"": [], ""display_value"": ""Revenue Elements"", ""value"": ""elements""}, {""links"": [], ""display_value"": ""Recognition Plans"", ""value"": ""plans""}, {""links"": [], ""display_value"": ""Recognition Events"", ""value"": ""recognition""}]",Checkbox Multi-Select
q36,Revenue Management,When does revenue get recognized?,Which recognition trigger type?,recognition-trigger,'delivery',"SELECT 'delivery' as value, 'Upon Delivery' as display_value FROM DUAL UNION ALL SELECT 'acceptance' as value, 'Customer Acceptance' as display_value FROM DUAL UNION ALL SELECT 'billing' as value, 'Upon Billing' as display_value FROM DUAL UNION ALL SELECT 'payment' as value, 'Upon Payment' as display_value FROM DUAL","Customer Acceptance, Upon Billing, Upon Delivery, Upon Payment",success,4,,,"[{""links"": [], ""display_value"": ""Customer Acceptance"", ""value"": ""acceptance""}, {""links"": [], ""display_value"": ""Upon Billing"", ""value"": ""billing""}, {""links"": [], ""display_value"": ""Upon Delivery"", ""value"": ""delivery""}, {""links"": [], ""display_value"": ""Upon Payment"", ""value"": ""payment""}]",Checkbox Multi-Select
q37,Financial Management,Show fair value allocations,Which fair value method should I use?,fair-value-method,'market',"SELECT 'market' as value, 'Market Approach' as display_value FROM DUAL UNION ALL SELECT 'income' as value, 'Income Approach' as display_value FROM DUAL UNION ALL SELECT 'cost' as value, 'Cost Approach' as display_value FROM DUAL UNION ALL SELECT 'hybrid' as value, 'Hybrid Method' as display_value FROM DUAL","Cost Approach, Hybrid Method, Income Approach, Market Approach",success,4,,,"[{""links"": [], ""display_value"": ""Cost Approach"", ""value"": ""cost""}, {""links"": [], ""display_value"": ""Hybrid Method"", ""value"": ""hybrid""}, {""links"": [], ""display_value"": ""Income Approach"", ""value"": ""income""}, {""links"": [], ""display_value"": ""Market Approach"", ""value"": ""market""}]",Checkbox Multi-Select
q38,Financial Management,Show revenue schedules,Which schedule type do you want?,schedule-type,'amortization',"SELECT 'amortization' as value, 'Amortization Schedule' as display_value FROM DUAL UNION ALL SELECT 'depreciation' as value, 'Depreciation Schedule' as display_value FROM DUAL UNION ALL SELECT 'recognition' as value, 'Recognition Schedule' as display_value FROM DUAL UNION ALL SELECT 'payment' as value, 'Payment Schedule' as display_value FROM DUAL","Amortization Schedule, Depreciation Schedule, Payment Schedule, Recognition Schedule",success,4,,,"[{""links"": [], ""display_value"": ""Amortization Schedule"", ""value"": ""amortization""}, {""links"": [], ""display_value"": ""Depreciation Schedule"", ""value"": ""depreciation""}, {""links"": [], ""display_value"": ""Payment Schedule"", ""value"": ""payment""}, {""links"": [], ""display_value"": ""Recognition Schedule"", ""value"": ""recognition""}]",Checkbox Multi-Select
q39,Multi-Book,Show financial statements,Which accounting book should I use?,accounting-book,'primary',"SELECT 'primary' as value, 'Primary Book' as display_value FROM DUAL UNION ALL SELECT 'tax' as value, 'Tax Book' as display_value FROM DUAL UNION ALL SELECT 'ifrs' as value, 'IFRS Book' as display_value FROM DUAL UNION ALL SELECT 'statutory' as value, 'Statutory Book' as display_value FROM DUAL","IFRS Book, Primary Book, Statutory Book, Tax Book",success,4,,,"[{""links"": [], ""display_value"": ""IFRS Book"", ""value"": ""ifrs""}, {""links"": [], ""display_value"": ""Primary Book"", ""value"": ""primary""}, {""links"": [], ""display_value"": ""Statutory Book"", ""value"": ""statutory""}, {""links"": [], ""display_value"": ""Tax Book"", ""value"": ""tax""}]",Checkbox Multi-Select
